Site ID,TURF,C,G,S,Z,MA,OL,SEAG,DCA,CA,DC,SPR,U,TWS,points
BISC-P10a,0,15.79,15.79,0,0,31.58,0,0,0,0,0,36.84,0,5.26,19
BISC-P10a,0,0,89.47,0,0,0,5.26,0,0,0,0,5.26,0,5.26,19
BISC-P10a,5.26,0,36.84,5.26,0,15.79,0,0,0,0,0,36.84,0,5.26,19
BISC-P10a,0,0,0,0,0,0,0,0,0,0,0,100,0,5.26,19
BISC-P10a,5.26,0,15.79,0,0,0,0,0,0,0,0,78.95,0,5.26,19
BISC-P10a,0,0,0,5,0,0,0,0,0,0,0,95,0,0,20
BISC-P10a,10.53,0,42.11,5.26,0,0,0,0,0,0,0,42.11,0,5.26,19
BISC-P10a,0,5.56,11.11,0,0,0,0,0,16.67,0,0,66.67,0,11.11,18
BISC-P10a,5,0,30,5,0,0,5,0,5,0,0,50,0,0,20
BISC-P10a,15,15,30,0,0,0,0,0,0,0,0,40,0,0,20
BISC-P10a,15.79,5.26,31.58,0,0,0,5.26,0,0,0,0,42.11,0,5.26,19
BISC-P10a,5,0,10,0,5,5,0,0,0,5,0,70,0,0,20
BISC-P10a,10,0,40,0,0,0,5,0,0,0,0,45,0,0,20
BISC-P10a,0,0,47.37,5.26,0,10.53,0,0,5.26,5.26,0,26.32,0,5.26,19
BISC-P10a,10.53,0,31.58,10.53,0,0,0,0,0,5.26,0,42.11,0,5.26,19
BISC-P10a,5.26,5.26,26.32,0,0,26.32,0,0,0,5.26,0,31.58,0,5.26,19
BISC-P10a,0,0,35,5,0,0,0,0,0,5,0,55,0,0,20
BISC-P10a,0,26.32,63.16,0,0,0,0,0,5.26,5.26,0,0,0,5.26,19
BISC-P10a,25,10,40,0,0,0,0,0,0,0,0,25,0,0,20
BISC-P10a,10.53,0,26.32,0,0,31.58,0,0,0,5.26,0,26.32,0,5.26,19
BISC-P10a,0,0,77.78,0,0,5.56,0,0,0,0,0,16.67,0,11.11,18
BISC-P10a,0,0,75,15,0,0,0,0,0,0,0,10,0,0,20
BISC-P10a,10,5,40,0,0,20,0,0,0,0,0,25,0,0,20
BISC-P10a,10,5,40,0,0,5,0,0,0,0,0,40,0,0,20
BISC-P10a,0,0,30,0,0,0,0,0,5,0,0,65,0,0,20
BISC-P10a,5.26,21.05,63.16,0,0,0,0,0,0,0,0,10.53,0,5.26,19
BISC-P10a,0,15,40,5,0,0,0,0,10,0,0,30,0,0,20
