id,SurveyNum,Avrage_PR,Trans_lengthm,Lionfish_size_TL,Habitat_type,Lionfish_visibility,Lionfish_behaviour,Adj_behaviour,TOD,Num_attempts,Captured_bin,Mins_elapsed,Hrs_elapsed,Adj_min,Gamma_min,Capturer_name,Proportion_caught,Adj_Prop,Prop_remaining,Cap_Dives,Cap_removals,Cap_exp,Cap_affl,Cap_exp_new,Cap_exp_2821,Date,Date2,Study_period,Observer,Site_ID,Proportion_surveyed,Region,Sub_region,Location,Type,Depth_ft,trans_area,Site_area_m2,Average,LF,i.Site_ID,i.trans_area,NumPerSurv,AvgTimeSurv,i.NumPerSurv,i.trans_area.1,TransDens,i.Site_area_m2,AvgLFSite,AvgTimeSite,i.Site_area_m2.1,SiteDens1000,SiteDens,AvgCoral,AvgGorg
65,174,1,31,23,Reef,SH,rest,rest,midday,2,1,4.002,0.0667,4.002,4.002,Alex,1,0.99999,0,100,50,Low,Intern,Low,Low,6/12/2013,Summer 2013,3,Alexis/Alex,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,14,399,798,33.76,1,KL-P11,399,5,1.3499999999999999,5,399,0.012531328320802004,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
72,206,0.677419355,16,15,Reef,SH,rest,rest,midday,1,1,1.086,0.0181,0.204,0.204,Steve Schalk,1,0.99999,0,NA,NA,High,NRM&CS,High,High,8/5/2013,Summer 2013,4,Steve/Alex/Catie,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,14,399,798,33.76,1,KL-P11,399,5,4.2936,5,399,0.012531328320802004,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
71,206,0.677419355,16,15,Reef,EXP,rest,rest,midday,1,1,0.882,0.0147,0.882,0.882,Steve Schalk,1,0.99999,0,NA,NA,High,NRM&CS,High,High,8/5/2013,Summer 2013,4,Steve/Alex/Catie,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,14,399,798,33.76,1,KL-P11,399,5,4.2936,5,399,0.012531328320802004,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
73,206,0.677419355,34,16,Reef,SH,rest,rest,midday,2,1,2.502,0.0417,2.502,2.502,Steve Schalk,1,0.99999,0,NA,NA,High,NRM&CS,High,High,8/5/2013,Summer 2013,4,Steve/Alex/Catie,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,14,399,798,33.76,1,KL-P11,399,5,4.2936,5,399,0.012531328320802004,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
74,206,0.677419355,34,23,Reef,SH,rest,rest,midday,3,1,4.884,0.0814,2.382,2.382,Steve Schalk,1,0.99999,0,NA,NA,High,NRM&CS,High,High,8/5/2013,Summer 2013,4,Steve/Alex/Catie,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,14,399,798,33.76,1,KL-P11,399,5,4.2936,5,399,0.012531328320802004,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
75,206,0.677419355,34,13,Reef,SH,rest,rest,midday,10,1,15.498,0.2583,15.498,15.498,Steve Schalk,1,0.99999,0,NA,NA,High,NRM&CS,High,High,8/5/2013,Summer 2013,4,Steve/Alex/Catie,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,14,399,798,33.76,1,KL-P11,399,5,4.2936,5,399,0.012531328320802004,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
111,275,0.931034483,35,7,Reef,SH,hover,active,Crepuscular,1,0,0,0,0,1e-8,Zoe.Liz,0.833333333,0.833333333,0.166666667,32,0,Low,Intern,None,Low,10/6/2013,Fall 2013,5,Zoe and Lizard,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,11,399,798,33.76,1,KL-P11,399,6,1.5138888888333333,6,399,0.015037593984962405,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
106,275,0.931034483,14,13,Reef,SH,rest,rest,midday,1,1,0,0,0.083333333,0.083333333,Zoe.Liz,0.833333333,0.833333333,0.166666667,32,0,Low,Intern,None,Low,10/6/2013,Fall 2013,5,Zoe and Lizard,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,11,399,798,33.76,1,KL-P11,399,6,1.5138888888333333,6,399,0.015037593984962405,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
107,275,0.931034483,14,20,Reef,SH,rest,rest,midday,1,1,1.002,0.0167,1.002,1.002,Zoe.Liz,0.833333333,0.833333333,0.166666667,32,0,Low,Intern,None,Low,10/6/2013,Fall 2013,5,Zoe and Lizard,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,11,399,798,33.76,1,KL-P11,399,6,1.5138888888333333,6,399,0.015037593984962405,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
108,275,0.931034483,30,25,Reef,SH,hover,active,midday,1,1,1.002,0.0167,1.002,1.002,Zoe.Liz,0.833333333,0.833333333,0.166666667,32,0,Low,Intern,None,Low,10/6/2013,Fall 2013,5,Zoe and Lizard,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,11,399,798,33.76,1,KL-P11,399,6,1.5138888888333333,6,399,0.015037593984962405,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
109,275,0.931034483,30,27,Reef,SH,hover,active,midday,1,1,3,0.05,1.998,1.998,Zoe.Liz,0.833333333,0.833333333,0.166666667,32,0,Low,Intern,None,Low,10/6/2013,Fall 2013,5,Zoe and Lizard,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,11,399,798,33.76,1,KL-P11,399,6,1.5138888888333333,6,399,0.015037593984962405,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
